income_hr,education,sex,age,urban_rural,province,sector,hours_worked
180.55556,Primary,Female,23,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Male,25,Rural,Western Province,Agriculture,36.0
180.55556,Primary,Male,22,Rural,Western Province,Industry,36.0
416.66666,Upper_secondary,Male,24,Rural,Western Province,Industry,60.0
333.33334,Upper_secondary,Male,24,Rural,Western Province,Industry,60.0
125.0,Primary,Female,22,Rural,Western Province,Services,48.0
89.28571,Primary,Male,28,Rural,Western Province,Services,42.0
135.41667,Lower_secondary,Male,20,Rural,Western Province,Industry,48.0
925.9259,Upper_secondary,Male,25,Rural,Western Province,Services,54.0
1000.0,University,Female,30,Rural,Western Province,Services,45.0
303.33334,Primary,Male,26,Rural,Northern Province,Agriculture,15.0
126.388885,Primary,Female,20,Rural,Northern Province,Agriculture,36.0
151.66667,Primary,Male,22,Rural,Northern Province,Agriculture,30.0
126.388885,Primary,Female,19,Rural,Northern Province,Agriculture,36.0
92.85714,Primary,Female,19,Rural,Northern Province,Agriculture,35.0
130.0,Primary,Female,21,Rural,Northern Province,Agriculture,35.0
119.73684,Upper_secondary,Female,24,Rural,Northern Province,Agriculture,38.0
113.75,Primary,Female,22,Rural,Northern Province,Agriculture,40.0
325.0,Primary,Female,20,Rural,Northern Province,Agriculture,12.0
325.0,Primary,Male,24,Rural,Northern Province,Agriculture,14.0
126.388885,Primary,Female,20,Rural,Northern Province,Agriculture,36.0
208.33333,Upper_secondary,Male,27,Urban,Northern Province,Services,48.0
234.375,Upper_secondary,Male,25,Urban,Northern Province,Services,48.0
32.467533,Primary,Female,19,Urban,Northern Province,Services,77.0
34.72222,Primary,Female,16,Urban,Northern Province,Services,72.0
238.09525,Primary,Male,20,Rural,Northern Province,Services,42.0
144.44444,Primary,Male,22,Rural,Northern Province,Agriculture,36.0
541.6667,Primary,Female,26,Rural,Northern Province,Agriculture,12.0
333.33334,Upper_secondary,Female,25,Rural,Northern Province,Services,60.0
270.83334,Upper_secondary,Male,27,Rural,Northern Province,Industry,60.0
180.55556,Primary,Female,20,Rural,Northern Province,Agriculture,18.0
108.333336,Primary,Male,25,Rural,Northern Province,Agriculture,30.0
216.66667,Primary,Male,19,Rural,Northern Province,Agriculture,30.0
130.0,Primary,Female,19,Rural,Northern Province,Agriculture,30.0
130.0,Primary,Female,20,Rural,Northern Province,Agriculture,30.0
130.0,Primary,Female,16,Rural,Northern Province,Agriculture,30.0
126.388885,Primary,Female,26,Rural,Northern Province,Agriculture,36.0
189.58333,Primary,Male,17,Rural,Northern Province,Agriculture,24.0
379.16666,Primary,Female,19,Rural,Northern Province,Agriculture,12.0
180.55556,Primary,Female,24,Rural,Eastern Province,Agriculture,36.0
180.55556,Primary,Male,17,Rural,Eastern Province,Agriculture,36.0
325.0,Upper_secondary,Male,29,Rural,Eastern Province,Services,10.0
243.75,Primary,Male,19,Rural,Eastern Province,Industry,40.0
216.66667,Primary,Male,27,Rural,Eastern Province,Agriculture,18.0
45.833332,Primary,Male,22,Rural,Eastern Province,Services,60.0
108.333336,Lower_secondary,Female,23,Rural,Eastern Province,Agriculture,30.0
130.0,Primary,Female,16,Rural,Eastern Province,Agriculture,30.0
